"title";"price";"city";"street";"rooms";"square_m2";"floor";"link"
"2-комнатная квартира · 81 м² · 2/5 этаж";"32 500 000";"Aktobe";"мкр. Алтын орда, Мустафы Шокая 19";"2";"81";"2/5";""
"2-комнатная квартира · 48.9 м² · 2/5 этаж";"16 500 000";"Aktobe";"мкр 8, Александра Алексеевича Гришина 70к2 — Университет Байшева, ТД Алтай, ГК Саздинский";"2";"48.9";"2/5";""
"4-комнатная квартира · 248.9 м² · 4/4 этаж";"74 500 000";"Aktobe";"мкр 8, 101 Стрелковой Бригады 6А — АбылХаирХана";"4";"248.9";"4/4";""
"4-комнатная квартира · 160 м² · 4/10 этаж";"95 000 000";"Aktobe";"мкр. Алтын орда";"4";"160";"4/10";""
"3-комнатная квартира · 65 м² · 5/9 этаж";"21 500 000";"Aktobe";"Абылхаир хана";"3";"65";"5/9";""
"3-комнатная квартира · 120 м² · 5/8 этаж";"65 000 000";"Aktobe";"мкр. Алтын орда, Санкибай батыра 40е";"3";"120";"5/8";""
"8-комнатная квартира · 220 м² · 3/5 этаж";"88 500 000";"Aktobe";"Асау Барака";"8";"220";"3/5";""
"1-комнатная квартира · 44.4 м² · 9/10 этаж";"10 500 000";"Aktobe";"Нур Актобе 12Н";"1";"44.4";"9/10";""
"1-комнатная квартира · 50 м² · 4/5 этаж";"16 500 000";"Aktobe";"Асау Барака 60а — Угол улиц Асау барака -Шернияза";"1";"50";"4/5";""
"3-комнатная квартира · 134.5 м² · 8/10 этаж";"48 000 000";"Aktobe";"мкр. Алтын орда, алтын орда";"3";"134.5";"8/10";""
"3-комнатная квартира · 90 м² · 4/9 этаж";"39 500 000";"Aktobe";"мкр. Алтын орда, Микрорайон Алтын Орда 360/2";"3";"90";"4/9";""
"6-комнатная квартира · 230 м² · 1/3 этаж";"120 000 000";"Aktobe";"Саздинское лесничество 197а — Тойотацентр";"6";"230";"1/3";""
"3-комнатная квартира · 63 м² · 7/9 этаж";"16 000 000";"Aktobe";"мкр 5, проспект Абая 2 корпус 1";"3";"63";"7/9";""
"2-комнатная квартира · 89 м² · 1/9 этаж";"25 000 000";"Aktobe";"мкр. Алтын орда, Мкр.Батыс-2 участок 352";"2";"89";"1/9";""
"3-комнатная квартира · 145 м² · 6/10 этаж";"37 000 000";"Aktobe";"Молдагуловой 58";"3";"145";"6/10";""
"2-комнатная квартира · 75 м² · 2/5 этаж";"42 000 000";"Aktobe";"мкр. Алтын орда, Мкрн Алтын Орда 22е";"2";"75";"2/5";""
"3-комнатная квартира · 105 м² · 6/6 этаж";"40 000 000";"Aktobe";"М.ОСПАНОВА 54а";"3";"105";"6/6";""
"1-комнатная квартира · 41 м² · 4/5 этаж";"16 700 000";"Aktobe";"мкр. Алтын орда 339";"1";"41";"4/5";""
"3-комнатная квартира · 132.5 м² · 1/5 этаж";"48 000 000";"Aktobe";"мкр. Алтын орда, Халел Досмухамедулы 18Г кор 1";"3";"132.5";"1/5";""
"2-комнатная квартира · 49.8 м² · 4/5 этаж";"10 000 000";"Aktobe";"мкр Гормолзавод, Нефтянников 22 — магазин Дина в доме";"2";"49.8";"4/5";""
"2-комнатная квартира · 68.6 м² · 7/12 этаж";"15 000 000";"Aktobe";"мкр Жилгородок, Тургенева 36";"2";"68.6";"7/12";""
"4-комнатная квартира · 145 м² · 2/8 этаж";"81 000 000";"Aktobe";"Санкибай батыра";"4";"145";"2/8";""
"3-комнатная квартира · 90 м² · 2/5 этаж";"36 000 000";"Aktobe";"мкр. Алтын орда, микрорайон Батыс-2 49Л";"3";"90";"2/5";""
"3-комнатная квартира · 112 м² · 2/5 этаж";"47 000 000";"Aktobe";"мкр. Алтын орда, Мустафы Шокая 48в/к4";"3";"112";"2/5";""
"5-комнатная квартира · 173 м² · 3/5 этаж";"82 000 000";"Aktobe";"мкр. Алтын орда, Алтын Орда";"5";"173";"3/5";""
"1-комнатная квартира · 32.7 м² · 7/9 этаж";"10 500 000";"Aktobe";"мкр Авиагородок, Сулутобе 2";"1";"32.7";"7/9";""
"2-комнатная квартира · 48 м² · 3/3 этаж";"12 500 000";"Aktobe";"мкр Жилгородок, Женыс (Победа) 28 — Школа 16 Анвар";"2";"48";"3/3";""
"2-комнатная квартира · 63.8 м² · 2/5 этаж";"18 700 000";"Aktobe";"мкр 12, Мкр 12 В,Г Бактыбай Батыра 96 А";"2";"63.8";"2/5";""
"1-комнатная квартира · 31 м² · 5/6 этаж";"11 800 000";"Aktobe";"Старый город, Кереева 7";"1";"31";"5/6";""
"4-комнатная квартира · 160 м² · 4/5 этаж";"56 100 000";"Aktobe";"Газиза Жубанова — Народная концелярия";"4";"160";"4/5";""
"1-комнатная квартира · 37 м² · 1/9 этаж";"14 000 000";"Aktobe";"мкр 5, Пр-т А.Молдагуловой 7 — Вечный огонь";"1";"37";"1/9";""
"4-комнатная квартира · 147 м² · 3/5 этаж";"51 000 000";"Aktobe";"мкр. Алтын орда, Алтын орда 358 а 14";"4";"147";"3/5";""
"3-комнатная квартира · 70 м² · 3/6 этаж";"23 500 000";"Aktobe";"Братья Жубановых 259/1 — Сатпаева";"3";"70";"3/6";""
"4-комнатная квартира · 111 м² · 1/5 этаж";"44 000 000";"Aktobe";"Алтын орда 40Г";"4";"111";"1/5";""
"4-комнатная квартира · 162.4 м² · 4/5 этаж";"65 900 000";"Aktobe";"мкр. Алтын орда, Мәңгілік Ел 5/3 — НИШ напротив";"4";"162.4";"4/5";""
"3-комнатная квартира · 105.1 м² · 4/9 этаж";"35 734 000";"Aktobe";"мкр. Алтын орда, Мустафы Шокая 2Е";"3";"105.1";"4/9";""
"4-комнатная квартира · 117 м² · 3 этаж";"42 000 000";"Aktobe";"мкр 12 21е";"4";"117";"";""
"3-комнатная квартира · 95.6 м² · 1/7 этаж";"38 000 000";"Aktobe";"мкр. Алтын орда 50л";"3";"95.6";"1/7";""
"1-комнатная квартира · 31 м² · 3/5 этаж";"14 500 000";"Aktobe";"мкр. Алтын орда, Батыс 2 микрорайон 25 — Школа жайлы";"1";"31";"3/5";""
